codigo_barras,descricao,unidade,valor
7898916862064,FOGUETE BEIJA FLOR 12X1 UN           , UN ,22.9
7898288400406,FOGUETE DE CORES FOGOS OURO UN       , UN ,29.99
7898947712543,FOGUETE LBT MAMADEIRA UN             , UN ,29.9
7891175015363,FORMINHA PARA DOCINHOS REGINA 100UN  , UN ,1.29
7891175015370,FORMINHAS REGINA N5                  , UN ,1.29
7891175015387,FORMINHAS REGINAS N 5                , UN ,1.29
7898113260021,FUNIL PLASTICO PEQUENO               , UN ,1.5
7895433001150,GARFO PARA ANIVERSARIO AZUL COM 10   , UN ,1.8
7891175012447,GARFO PLASTICO DESC. REGINA 10UN     , UN ,1.99
7893505000797,GARFOS BARICHELLO INOX C/3UN         , UN ,2.99
7891112146013,GARFOS TRAMONTINA BRISA C/3UN        , UN ,5.6
7898594910217,GARRAFA DE AGUA BOB ESPOJA           , UN ,3.99
7898945564847,GARRAFA DE AGUA BOLAS ROSAS          , UN ,3.99
7898594911207,GARRAFA DE AGUA COLORADO             , UN ,3.99
7898594911603,GARRAFA DE AGUA GREMIO               , UN ,3.99
7897731120120,GIZ DE CERA 12UN MARIPEL 12UN        , UN ,2.69
7891360589310,GIZES DE CERA                        , UN ,2.39
7891360483885,"GRAFITE MAX RESISTENTE 0,5           ", UN ,2.59
7891360484011,"GRAFITE MAX RESISTENTE 0,7           ", UN ,2.65
7897684808809,GUARDA CHUVA FAMILIA 1               , UN ,12.9
7898113261530,GUITARRA PLASTICA UN                 , UN ,4.99
7898046770314,JARRA ALUMINIO MARBI                 , UN ,15
7898921403511,JARRA CRISTAL ACD PLASTICOS FRUTAS   , UN ,6.7
7897291800081,JARRA REDONDA CAPACIDADE 2LITROS     , UN ,4.9
7891140984274,LAMPADA CRISTAL A50 CLARA 60W UN     , UN ,2.19
7896619421717,LAMPADA EMPALUX ECONOMICA COMPACTA 22, UN ,9.49
7896619400460,LAMPADA EMPALUX ECONOMICA ESPIRAL 220, UN ,10.89
7702048288312,LAMPADA FLUORESCENTE 15W 220VOLTS SIL, UN ,6.99
7702048288435,LAMPADA FLUORESCENTE 20W SILVANIA    , UN ,8.49
7702048380269,LAMPADA FLUORESCENTE 25W SILVANIA    , UN ,10.25
7896480643669,LAMPADA FLUORESCENTE15W 220VOLTS     , UN ,8.39
7896619412067,LAMPADA LUZ BRANCA 6400K220VLT 15WATT, UN ,9.59
7891206010503,LAMPADA OSRAM 60W INCANDESCENTE      , UN ,2.79
7898324238536,LAMPADA OURO LUX 15W 220V            , UN ,10.99
7898324237751,LAMPADA OURO LUX 20W 220V            , UN ,11.99
7898324238574,LAMPADA OURO LUX 25W 220V            , UN ,13.49
7894400001131,LAMPADA PHILIPS 40W                  , UN ,2.69
7897079037876,LAMPADA VIEWLUX 15W 220/240V         , UN ,7.69
3270220020073,LAPIS COR BIC TROPICOLORS PEQ        , UN ,2.99
7891360402657,LAPIS DE COR 12 UN                   , UN ,4.29
7897256250036,LAPIS DE COR COM 12 LEO E LEO  CODIGO, UN ,4.9
7897256246909,LAPIS DE COR COM 12 LEO E LEO PEQ COD, UN ,3.5
7897771007009,LAPIS DE COR MAKE 12 UN              , UN ,4.9
7897256250029,LAPIS LEONORA C/ BORRACHA C/12       , UN ,12
7897476643595,LAPIS PRETO BARBIE                   , UN ,1.29
7897476637204,LAPIS PRETO CARROS                   , UN ,1.39
7898946886276,LIXA P/ OS PES SANREYS               , UN ,4.99
7898339590360,"LIXEIRA 7,5 LT                       ", UN ,13.29
7897291801361,LIXEIRA DE PIA GIPLAS                , UN ,4.99
7898280070416,MALETA P/ FERRAMENTA ARQPLAST        , UN ,12.9
7898030420263,MAMADEIRA KROLON LIVRE DE BISFENOL A , UN ,5.19
7897731110060,MASSA DE MODELAR C/6 MARIPEL         , UN ,2.99
7898953789010,MATA MOSCAS PLASTICO                 , UN ,1.99
7891213207262,MEIA CALCA TRIFIL CLASSICA N° 20     , UN ,8.19
7891213206470,MEIA CALCA TRIFIL EG NATURAL         , UN ,8.19
7891213207118,MEIA CALCA TRIFIL GRANDE NATURAL COR , UN ,8.19
7898010990014,OLEO DE MAQUINAS MULTIUSO NOVIL 90ML , UN ,3
7898498882481,PA DE BOLO DINAMICA                  , UN ,3.5
7898253660910,PA PARA LIXO DALCIN                  , UN ,4.79
7898264716286,PALITEIRO DE MESA ERCA PLAST         , UN ,1.99
7898416035128,PANELA ALUMINIO MCF N°16             , UN ,18.99
7898416035012,PANELA ALUMINIO N° 16                , UN ,18.99
7898259410151,PANELA ALUMINIO N° 20                , UN ,24.5
7898259410144,PANELA AZEVEDO ALUMINIO N° 18        , UN ,21.99
7898259410168,PANELA AZEVEDO ALUMINIO N° 22        , UN ,26.5
7898259410120,PANELA CACAROLA AZEVEDO              , UN ,17.99
7891191001098,PAPEL A4 REPORT SENINHA 100FL        , UN ,4.99
7891021002103,PAPEL BRIGITA 102                    , UN ,2.99
7898455110152,PASTA ABA PLASTICA NOVA PRINT        , UN ,3.59
7896644715775,PASTA COM ABA                        , UN ,2.15
7898455110985,PASTA GATINHA                        , UN ,3.59
7898455111005,PASTA HEROICITY URIART               , UN ,3.59
7898455110114,PASTA SCHOOL CARRO                   , UN ,3.59
7897009410038,PEGADOR DE GELO BIG INOX             , UN ,3.5
7898498880937,PEGADOR DE GELO DINAMIKA             , UN ,3.5
7898901926344,PEGADOR DE MASSA MADEFER INOX        , UN ,3.5
7898331732447,PENEIRA MEDIA 20CM                   , UN ,4.9
7898331732423,PENEIRA PEQUENA COM CABO 14CM        , UN ,3.5
7891055131626,PENTE CONDOR SM 120 ESSENCIAL        , UN ,5.39
7891055300107,PINCEL BARBA CONDOR REF 2008         , UN ,3.75
7899471686294,PINCEL PARA BARBA UN                 , UN ,3.9
7896067203026,PINHA PANASONIC 9V                   , UN ,9.99
7898121655086,PORTA DETERGENTE                     , UN ,3.59
7898082112871,PORTA MANTIMENTOS ALTIMAR            , UN ,4.5
7898339590315,PORTA OLEO CIT                       , UN ,2.99
6921170623032,PORTA RETRATO QUADRADO               , UN ,8.69
7898121652597,PORTA TALHERES COM TAMPA             , UN ,4.99
7897291814057,POTE GIPLAS FREEZER DUPLO            , UN ,4.49
7898921403146,POTE PLASTICO REDONDO                , UN ,7.49
7897649732118,"POTE RET.CONSERVADORA 3,5LT          ", UN ,5.49
7897649712110,POTE RETANGULAR CONSERVADORA INPLAST , UN ,5.49
7898339590254,POTE TOPA TUDO CIT 6LITROS           , UN ,9.99
7897291812237,POTES GIPLAS FREEZER/MICROONDAS C/3UN, UN ,4.9
7894993000832,PRATO FUNDO DURALEX                  , UN ,5.5
7898930975016,PRENDEDORES DE ROUPAS DINDA 12UN     , UN ,0.99
6977777013042,PULVERIZADOR                         , UN ,3.99
